Sunpetal Grove (XLN),Price - In,# Bought,# Left,Total,Current,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,Price - Out,#,Total,Margin,% Gain,,,,,,,
Deceiver of Form,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deceiver of Form - Foil,0.02,3,3,0.06,0.06,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decimator of the Provinces,1.26,2,0,2.52,0.00,2.0437,1,2.0437,0.7837,62%,1.78,1,1.78,0.52,41%,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,1.57,2,0,3.14,0.00,1.449,2,2.898,-0.242,-8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,1.09,3,0,3.27,0.00,1.449,3,4.347,1.077,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,1.24,4,0,4.96,0.00,1.224,2,2.448,-0.032,-1%,1.41,2,2.82,0.34,14%,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,0.98,4,0,3.92,0.00,1.287,4,5.148,1.228,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,0.52,4,0,2.08,0.00,0.6,4,2.4,0.32,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,0.34,8,0,2.72,0.00,0.59,4,2.36,1,74%,1.08,4,4.32,2.96,218%,,,,,,,,,,,,,,,,,,,,,,
Declaration in Stone,0.3,4,0,1.20,0.00,1.07,4,4.28,3.08,257%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deepfathom Skulker,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.08,8,8,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.07,8,8,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.06,52,52,3.12,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.05,28,28,1.40,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.04,32,32,1.28,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.03,20,20,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deeproot Champion,0.02,32,32,0.64,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demonic Tutor,2.72,1,1,2.72,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.21,8,0,1.68,0.00,0.374,8,2.992,1.312,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.14,4,0,0.56,0.00,0.41,4,1.64,1.08,193%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.13,4,0,0.52,0.00,0.34,4,1.36,0.84,162%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.12,4,4,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.11,24,8,2.64,0.88,0.4,4,1.6,1.16,264%,0.34,4,1.36,0.92,209%,0.255,8,2.04,1.16,132%,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.1,8,8,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demon of Dark Schemes,0.09,40,40,3.60,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depala, Pilot Exemplar",0.08,4,0,0.32,0.00,0.255,4,1.02,0.7,219%,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depala, Pilot Exemplar",0.01,230,150,2.30,1.50,0.017,28,0.476,0.196,70%,0.035,8,0.28,0.2,250%,0.03,24,0.72,0.48,200%,0.06,12,0.72,0.6,500%,0.068,8,0.544,0.464,580%,,,,,,,
Deploy the Gatewatch,0.35,2,0,0.70,0.00,0.49,1,0.49,0.14,40%,0.6375,1,0.6375,0.2875,82%,,,,,,,,,,,,,,,,,,,,,,
Deploy the Gatewatch,0.26,4,0,1.04,0.00,0.09,4,0.36,-0.68,-65%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deploy the Gatewatch,0.21,8,0,1.68,0.00,0.09,4,0.36,-0.48,-57%,0.1,4,0.4,-0.44,-52%,,,,,,,,,,,,,,,,,,,,,,
Deploy the Gatewatch,0.19,8,0,1.52,0.00,0.28,8,2.24,0.72,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deploy the Gatewatch,0.12,8,0,0.96,0.00,0.27,8,2.16,1.2,125%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deploy the Gatewatch,0.15,8,0,1.20,0.00,0.29,8,2.32,1.12,93%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descend Upon the Sinful,0.79,4,0,3.16,0.00,0.79,4,3.16,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descend Upon the Sinful,0.49,4,0,1.96,0.00,0.71,2,1.42,0.44,45%,0.88,2,1.76,0.78,80%,,,,,,,,,,,,,,,,,,,,,,
Descend Upon the Sinful,0.24,8,0,1.92,0.00,0.48,4,1.92,0.96,100%,0.87,4,3.48,2.52,263%,,,,,,,,,,,,,,,,,,,,,,
Desert of the Glorified (B),0.001,52,44,0.05,0.04,0.034,8,0.272,0.264,3300%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desolation Twin,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destructive Revalry,0.009,20,20,0.18,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devils' Playground,0.01,16,12,0.16,0.12,0.017,4,0.068,0.028,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devils' Playground - Foil,0.02,4,4,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dig Through Time,0.009,8,0,0.07,0.00,0.64,4,2.56,2.524,7011%,0.66,4,2.64,2.604,7233%,,,,,,,,,,,,,,,,,,,,,,
Dig Through Time,0.01,4,0,0.04,0.00,0.22,4,0.88,0.84,2100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dire Fleet Ravager,0.33,8,8,2.64,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diregraf Colossus,0.08,4,4,0.32,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diregraf Colossus,0.07,8,8,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diregraf Colossus,0.03,20,0,0.60,0.00,0.034,8,0.272,0.032,13%,0.06,12,0.72,0.36,100%,,,,,,,,,,,,,,,,,,,,,,
Diregraf Colossus,0.01,73,0,0.73,0.00,0.0255,20,0.51,0.31,155%,0.02,4,0.08,0.04,100%,0.03,28,0.84,0.56,200%,0.017,17,0.289,0.119,70%,0.06,4,0.24,0.2,500%,,,,,,,
Diregraf Colossus,0.02,12,0,0.24,0.00,0.04,8,0.32,0.16,100%,0.0255,4,0.102,0.022,28%,,,,,,,,,,,,,,,,,,,,,,
Diregraf Colossus,0.009,101,0,0.91,0.00,0.017,37,0.629,0.296,89%,0.05,20,1,0.82,456%,0.11,20,2.2,2.02,1122%,0.08,16,1.28,1.136,789%,0.26,8,2.08,2.008,2789%,,38.897,,,,,
Diregraf Colossus,0.009,68,0,0.61,0.00,0.136,8,1.088,1.016,1411%,0.12,8,0.96,0.888,1233%,0.13,16,2.08,1.936,1344%,0.15,24,3.6,3.384,1567%,0.25,12,3,2.892,2678%,,,,,,,
Diregraf Colossus,0.009,51,0,0.46,0.00,0.23,4,0.92,0.884,2456%,0.46,20,9.2,9.02,5011%,0.758,4,3.032,2.996,8322%,0.345,16,5.52,5.376,3733%,0.355,7,2.485,2.422,3844%,,,,,,,
Disallow,2.14,4,0,8.56,0.00,3.3712,4,13.4848,4.9248,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disallow,0.97,8,0,7.76,0.00,1.43,4,5.72,1.84,47%,1.88,4,7.52,3.64,94%,,,,,,,,,,,,,,,,,,,,,,
Disallow,0.93,4,0,3.72,0.00,1.88,4,7.52,3.8,102%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispossess,0.13,8,8,1.04,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispossess,0.12,4,4,0.48,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispossess,0.09,4,4,0.36,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispossess,0.01,100,68,1.00,0.68,0.068,8,0.544,0.464,580%,0.08,8,0.64,0.56,700%,0.07,16,1.12,0.96,600%,,,,,,,,,,,,,,,,,
Distended Mindbender,0.27,8,0,2.16,0.00,0.55,4,2.2,1.12,104%,0.54,4,2.16,1.08,100%,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.23,8,0,1.84,0.00,0.43,8,3.44,1.6,87%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.2,4,0,0.80,0.00,0.24,4,0.96,0.16,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.18,12,0,2.16,0.00,0.5355,4,2.142,1.422,198%,0.41,4,1.64,0.92,128%,0.58,4,2.32,1.6,222%,,,,,,,,,,,,,,,,,
Distended Mindbender,0.17,4,0,0.68,0.00,0.24,4,0.96,0.28,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.152,16,8,2.43,1.22,0.187,8,1.496,0.28,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.12,4,0,0.48,0.00,0.58,4,2.32,1.84,383%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.09,20,20,1.80,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.06,12,12,0.72,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.05,8,8,0.40,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender,0.04,4,4,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distended Mindbender - Foil,0.19,2,0,0.38,0.00,0.41,2,0.82,0.44,116%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docent of Perfection,0.01,8,8,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domri Rade,0.3,8,8,2.40,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domri Rade,0.25,4,4,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domri Rade,0.23,4,4,0.92,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domri Rade,0.2,4,4,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomfall,0.03,12,0,0.36,0.00,0.07,12,0.84,0.48,133%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doomfall,0.02,120,104,2.40,2.08,0.07,12,0.84,0.6,250%,0.06,4,0.24,0.16,200%,,,,,,,,,,,,,,,,,,,,,,
Doomfall,0.01,140,4,1.40,0.04,0.09,32,2.88,2.56,800%,0.08,32,2.56,2.24,700%,0.05,20,1,0.8,400%,0.03,28,0.84,0.56,200%,0.0425,24,1.02,0.78,325%,,,,,,,
Doomfall,0.01,100,24,1.00,0.24,0.034,24,0.816,0.576,240%,0.02,8,0.16,0.08,100%,0.04,4,0.16,0.12,300%,0.068,8,0.544,0.464,580%,0.13,32,4.16,3.84,1200%,,35.904,,,,,
Doomfall,0.01,100,28,1.00,0.28,0.06,4,0.24,0.2,500%,0.19,8,1.52,1.44,1800%,0.18,16,2.88,2.72,1700%,0.16,8,1.28,1.2,1500%,0.15,36,5.4,5.04,1400%,,,,,,,
Doomfall,0.01,100,60,1.00,0.60,0.14,32,4.48,4.16,1300%,0.034,8,0.272,0.192,240%,,,,,,,,,,,,,,,,,,,,,,
Doomfall,0.01,100,0,1.00,0.00,0.12,32,3.84,3.52,1100%,0.11,20,2.2,2,1000%,0.1,16,1.6,1.44,900%,0.0765,8,0.612,0.532,665%,0.07,24,1.68,1.44,600%,,,,,,,
Dovin Baan,1.69,1,1,1.69,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,1.05,1,1,1.05,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.82,4,0,3.28,0.00,1.197,4,4.788,1.508,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.76,4,0,3.04,0.00,1.197,4,4.788,1.748,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.65,4,4,2.60,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.64,4,4,2.56,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.55,4,4,2.20,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.53,8,8,4.24,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.5,4,4,2.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.47,4,4,1.88,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.43,8,8,3.44,3.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.41,4,4,1.64,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.4,12,12,4.80,4.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.38,8,8,3.04,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.35,8,8,2.80,2.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.32,4,4,1.28,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.23,12,12,2.76,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.22,8,0,1.76,0.00,0.221,8,1.768,0.008,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.2,4,4,0.80,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.19,8,8,1.52,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.18,8,8,1.44,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovin Baan,0.17,4,4,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.67,8,0,5.36,0.00,0.999,8,7.992,2.632,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.62,4,0,2.48,0.00,0.697,4,2.788,0.308,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.61,4,0,2.44,0.00,0.697,4,2.788,0.348,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.57,8,0,4.56,0.00,1.494,8,11.952,7.392,162%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.54,8,8,4.32,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.53,4,4,2.12,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.52,8,8,4.16,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.51,8,8,4.08,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.46,16,16,7.36,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.45,8,8,3.60,3.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonskull Summit,0.42,8,8,3.36,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.18,16,0,2.88,0.00,0.18,8,1.44,0,0%,0.24,4,0.96,0.24,33%,0.23,4,0.92,0.2,28%,,,,,,,,,,,,,,,,,
Drake Haven,0.17,4,0,0.68,0.00,0.17,4,0.68,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.14,4,0,0.56,0.00,0.1615,4,0.646,0.086,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.13,8,0,1.04,0.00,0.1615,1,0.1615,0.0315,24%,0.13,7,0.91,0,0%,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.12,4,0,0.48,0.00,0.13,1,0.13,0.01,8%,0.15,3,0.45,0.09,25%,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.11,8,8,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.1,12,0,1.20,0.00,0.102,8,0.816,0.016,2%,0.1,4,0.4,0,0%,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.09,12,0,1.08,0.00,0.09,4,0.36,0,0%,0.1,4,0.4,0.04,11%,0.15,4,0.6,0.24,67%,,,,,,,,,,,,,,,,,
Drake Haven,0.07,8,8,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.06,28,20,1.68,1.20,0.07,4,0.28,0.04,17%,0.15,4,0.6,0.36,150%,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.05,24,20,1.20,1.00,0.05,4,0.2,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.04,4,4,0.16,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.03,8,0,0.24,0.00,0.03,4,0.12,0,0%,0.05,4,0.2,0.08,67%,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.02,8,0,0.16,0.00,0.05,8,0.4,0.24,150%,,,,,,,,,,,,,,,,,,,,,,30.7855,,,,,
Drake Haven,0.01,80,16,0.80,0.16,0.1,4,0.4,0.36,900%,0.14,28,3.92,3.64,1300%,0.1615,8,1.292,1.212,1515%,0.16,8,1.28,1.2,1500%,0.23,16,3.68,3.52,2200%,,,,,,,
Drake Haven,0.01,60,8,0.60,0.08,0.22,8,1.76,1.68,2100%,0.21,12,2.52,2.4,2000%,0.2,12,2.4,2.28,1900%,0.24,12,2.88,2.76,2300%,0.33,8,2.64,2.56,3200%,,,,,,,
Drake Haven,0.01,20,12,0.20,0.12,0.32,8,2.56,2.48,3100%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake Haven,0.01,60,17,0.60,0.17,0.15,15,2.25,2.1,1400%,0.08,4,0.32,0.28,700%,0.13,8,1.04,0.96,1200%,0.12,8,0.96,0.88,1100%,0.11,8,0.88,0.8,1000%,,,,,,,
Drana,1.97,1,0,1.97,0.00,1.86,1,1.86,-0.11,-6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadbore,0.17,4,0,0.68,0.00,0.4,4,1.6,0.92,135%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadbore,0.13,8,4,1.04,0.52,0.47,4,1.88,1.36,262%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Defiler,0.01,4,4,0.04,0.04,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.48,4,0,1.92,0.00,0.51,4,2.04,0.12,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.45,4,0,1.80,0.00,0.5,4,2,0.2,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.36,4,0,1.44,0.00,0.44,4,1.76,0.32,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.35,4,0,1.40,0.00,0.35,4,1.4,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.33,12,0,3.96,0.00,0.35,4,1.4,0.08,6%,0.34,4,1.36,0.04,3%,0.37,4,1.48,0.16,12%,,,,,,,,,,,,,,,,,
Dread Wanderer,0.31,8,0,2.48,0.00,0.44,4,1.76,0.52,42%,0.38,4,1.52,0.28,23%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.3,20,0,6.00,0.00,0.442,8,3.536,1.136,47%,0.36,4,1.44,0.24,20%,0.51,4,2.04,0.84,70%,0.5,4,2,0.8,67%,,,,,,,,,,,,
Dread Wanderer,0.28,4,0,1.12,0.00,0.285,3,0.855,0.015,2%,0.4335,1,0.4335,0.1535,55%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.27,4,0,1.08,0.00,0.49,4,1.96,0.88,81%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.22,16,0,3.52,0.00,0.2635,8,2.108,0.348,20%,0.49,4,1.96,1.08,123%,0.48,4,1.92,1.04,118%,,,,,,,,,,,,,,,,,
Dread Wanderer,0.21,12,0,2.52,0.00,0.2125,8,1.7,0.02,1%,0.4335,4,1.734,0.894,106%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.2,24,4,4.80,0.80,0.27,8,2.16,0.56,35%,0.4335,2,0.867,0.467,117%,0.57,2,1.14,0.74,185%,0.595,8,4.76,3.16,198%,,,,,,,19.6295,,,,,
Dread Wanderer,0.19,12,4,2.28,0.76,0.57,6,3.42,2.28,200%,0.476,2,0.952,0.572,151%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.18,12,0,2.16,0.00,0.187,8,1.496,0.056,4%,0.18,4,0.72,0,0%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.17,4,4,0.68,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.16,4,0,0.64,0.00,0.17,4,0.68,0.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.15,24,16,3.60,2.40,0.1785,8,1.428,0.228,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.14,4,4,0.56,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.13,4,0,0.52,0.00,0.15,4,0.6,0.08,15%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.12,12,4,1.44,0.48,0.136,4,0.544,0.064,13%,0.476,4,1.904,1.424,297%,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.11,8,8,0.88,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.1,16,4,1.60,0.40,0.136,12,1.632,0.432,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.09,52,40,4.68,3.60,0.12,12,1.44,0.36,33%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.08,24,24,1.92,1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.07,36,36,2.52,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.06,4,4,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dread Wanderer,0.05,4,4,0.20,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.64,8,0,5.12,0.00,0.64,8,5.12,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.36,8,0,2.88,0.00,0.36,8,2.88,0,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.23,8,0,1.84,0.00,0.32,8,2.56,0.72,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.21,4,0,0.84,0.00,0.47,4,1.88,1.04,124%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.19,8,0,1.52,0.00,0.45,4,1.8,1.04,137%,0.527,4,2.108,1.348,177%,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.15,8,0,1.20,0.00,0.39,4,1.56,0.96,160%,0.38,4,1.52,0.92,153%,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.12,4,0,0.48,0.00,0.5525,4,2.21,1.73,360%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.1,8,0,0.80,0.00,0.5525,4,2.21,1.81,453%,0.38,4,1.52,1.12,280%,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.09,28,28,2.52,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreamstealer,0.06,4,4,0.24,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driven // Despair,0.01,100,92,1.00,0.92,0.0425,8,0.34,0.26,325%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogskul Cavalry,0.01,16,12,0.16,0.12,0.017,4,0.068,0.028,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drogskul Cavalry - Foil,0.02,4,4,0.08,0.08,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Droer of the Mighty,0.002,100,92,0.20,0.18,0.0255,8,0.204,0.188,1175%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),1.04,4,4,4.16,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.97,16,0,15.52,0.00,1.359,8,10.872,3.112,40%,1.395,8,11.16,3.4,44%,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.93,4,4,3.72,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.92,16,0,14.72,0.00,1.09,8,8.72,1.36,18%,1.54,4,6.16,2.48,67%,1.47,4,5.88,2.2,60%,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.88,8,0,7.04,0.00,1.476,6,8.856,3.576,68%,1.54,2,3.08,1.32,75%,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.87,4,0,3.48,0.00,1.54,4,6.16,2.68,77%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.85,8,0,6.80,0.00,1.74,8,13.92,7.12,105%,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.82,4,4,3.28,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.8,4,4,3.20,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.78,4,4,3.12,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.77,8,8,6.16,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.74,4,4,2.96,2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.73,8,8,5.84,5.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.72,8,8,5.76,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowned Catacombs (XLN),0.68,4,4,2.72,2.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
